from_code,to_code,distance
N24,N23,1.0
N23,N22,1.0
N22,N21,1.0
N21,N20,1.0
N20,N19,1.0
N19,N18,1.0
N18,N17,1.0
N17,N16,1.0
N17,PK16,0.0
N16,N15,1.0
N15,N14,1.0
N14,N13,1.0
N13,N12,1.0
N12,N11,1.0
N11,N10,1.0
N10,N9,1.0
N9,N8,1.0
N9,BL14,1.0
N8,N7,1.0
N8,BL13,1.0
N7,N6,1.0
N6,N5,1.0
N5,N4,1.0
N4,N3,1.0
N3,N2,1.0
N2,N1,1.0
N2,A8,0.0
N1,CEN,1.0
CEN,E1,1.0
CEN,W1,1.0
CEN,S1,1.0
E1,E2,1.0
E2,E3,1.0
E3,E4,1.0
E4,E5,1.0
E4,BL22,1.0
E5,E6,1.0
E6,E7,1.0
E7,E8,1.0
E8,E9,1.0
E9,E10,1.0
E10,E11,1.0
E11,E12,1.0
E12,E13,1.0
E13,E14,1.0
E14,E15,1.0
E15,E16,1.0
E15,YL23,0.0
E16,E17,1.0
E17,E18,1.0
E18,E19,1.0
E19,E20,1.0
E20,E21,1.0
E21,E22,1.0
E22,E23,1.0
W1,CEN,1.0
S1,S2,1.0
S1,CEN,1.0
S2,S3,1.0
S2,BL26,1.0
S3,S4,1.0
S4,S5,1.0
S5,S6,1.0
S6,S7,1.0
S7,S8,1.0
S7,G1,0.0
S8,S9,1.0
S9,S10,1.0
S10,S11,1.0
S11,S12,1.0
S12,BL34,0.0
G1,G2,1.0
G1,S7,0.0
G2,G3,1.0
BL01,BL02,1.0
BL01,BL32,1.0
BL01,BL33,1.0
BL02,BL03,1.0
BL03,BL04,1.0
BL04,BL05,1.0
BL05,BL06,1.0
BL06,BL07,1.0
BL07,BL08,1.0
BL08,BL09,1.0
BL09,BL10,1.0
BL10,BL11,1.0
BL10,PP16,0.0
BL11,BL12,1.0
BL11,RW01,0.0
BL11,RE01,0.0
BL12,BL13,1.0
BL13,BL14,1.0
BL13,N8,1.0
BL14,BL15,1.0
BL14,N9,1.0
BL15,BL16,1.0
BL15,YL01,0.0
BL16,BL17,1.0
BL17,BL18,1.0
BL18,BL19,1.0
BL19,BL20,1.0
BL19,OR13,0.0
BL20,BL21,1.0
BL21,BL22,1.0
BL21,A6,1.0
BL22,BL23,1.0
BL22,E4,1.0
BL23,BL24,1.0
BL24,BL25,1.0
BL25,BL26,1.0
BL26,BL27,1.0
BL26,S2,1.0
BL27,BL28,1.0
BL28,BL29,1.0
BL29,BL30,1.0
BL30,BL31,1.0
BL31,BL32,1.0
BL33,BL34,1.0
BL34,BL35,1.0
BL34,S12,0.0
BL35,BL36,1.0
BL36,BL37,1.0
BL37,BL38,1.0
PP01,PP02,1.0
PP02,PP03,1.0
PP03,PP04,1.0
PP04,PP05,1.0
PP05,PP06,1.0
PP06,PP07,1.0
PP07,PP08,1.0
PP08,PP09,1.0
PP09,PP10,1.0
PP10,PP11,1.0
PP11,PP12,1.0
PP11,PK01,0.0
PP12,PP13,1.0
PP13,PP14,1.0
PP14,PP15,1.0
PP15,PP16,1.0
PP16,BL10,0.0
A8,A7,1.0
A8,N2,0.0
A7,A6,1.0
A6,A5,1.0
A6,BL21,1.0
A5,A4,1.0
A4,A3,1.0
A4,YL11,0.0
A3,A2,1.0
A2,A1,1.0
PK01,PK02,1.0
PK01,PP11,0.0
PK02,PK03,1.0
PK03,PK04,1.0
PK04,PK05,1.0
PK05,PK06,1.0
PK06,PK07,1.0
PK07,PK08,1.0
PK08,PK09,1.0
PK09,PK10,1.0
PK10,PK11,1.0
PK10,PK10A,1.0
PK10A,PK10B,1.0
PK11,PK12,1.0
PK12,PK13,1.0
PK13,PK14,1.0
PK14,PK15,1.0
PK14,RE04,0.0
PK15,PK16,1.0
PK16,PK17,1.0
PK16,N17,0.0
PK17,PK18,1.0
PK18,PK19,1.0
PK19,PK20,1.0
PK20,PK21,1.0
PK21,PK22,1.0
PK22,PK23,1.0
PK23,PK24,1.0
PK23,OR28,0.0
PK24,PK25,1.0
PK25,PK26,1.0
PK26,PK27,1.0
PK27,PK28,1.0
PK28,PK29,1.0
PK29,PK30,1.0
YL01,YL02,1.0
YL01,BL15,0.0
YL02,YL03,1.0
YL03,YL04,1.0
YL04,YL05,1.0
YL05,YL06,1.0
YL06,YL07,1.0
YL07,YL08,1.0
YL08,YL09,1.0
YL09,YL10,1.0
YL10,YL11,1.0
YL11,YL12,1.0
YL11,A4,0.0
YL12,YL13,1.0
YL13,YL14,1.0
YL14,YL15,1.0
YL15,YL16,1.0
YL16,YL17,1.0
YL17,YL18,1.0
YL18,YL19,1.0
YL19,YL20,1.0
YL20,YL21,1.0
YL21,YL22,1.0
YL22,YL23,1.0
YL23,E15,0.0
OR13,OR14,1.0
OR13,BL19,0.0
OR14,OR15,1.0
OR15,OR16,1.0
OR16,OR17,1.0
OR17,OR18,1.0
OR18,OR19,1.0
OR19,OR20,1.0
OR20,OR21,1.0
OR21,OR22,1.0
OR22,OR23,1.0
OR23,OR24,1.0
OR24,OR25,1.0
OR25,OR26,1.0
OR26,OR27,1.0
OR27,OR28,1.0
OR28,OR29,1.0
OR28,PK23,0.0
RE01,RE02,1.0
RE01,RW01,0.0
RE01,BL11,0.0
RE02,RE03,1.0
RE03,RE04,1.0
RE04,RE05,1.0
RE04,PK14,0.0
RE05,RE06,1.0
RE06,RE07,1.0
RE07,RE08,1.0
RW01,RW02,1.0
RW01,RE01,0.0
RW01,BL11,0.0
RW02,RW03,1.0
RW03,RW04,1.0
